"Year","Year Code","Five-Year Age Groups","Five-Year Age Groups Code","Gender","Gender Code","Deaths","Population","Crude Rate"
"1999","1999","< 1 year","1","Female","F",0,1852123,0
"1999","1999","< 1 year","1","Male","M",0,1943639,0
"1999","1999","1-4 years","1-4","Female","F",0,7493614,0
"1999","1999","1-4 years","1-4","Male","M",0,7846168,0
"1999","1999","5-9 years","5-9","Female","F",0,10052618,0
"1999","1999","5-9 years","5-9","Male","M",0,10553842,0
"1999","1999","10-14 years","10-14","Female","F",23,9855664,0.2
"1999","1999","10-14 years","10-14","Male","M",80,10357700,0.8
"1999","1999","15-19 years","15-19","Female","F",108,9761569,1.1
"1999","1999","15-19 years","15-19","Male","M",867,10323033,8.4
"1999","1999","20-24 years","20-24","Female","F",124,9098615,1.4
"1999","1999","20-24 years","20-24","Male","M",1216,9492814,12.8
"1999","1999","25-29 years","25-29","Female","F",155,9695967,1.6
"1999","1999","25-29 years","25-29","Male","M",1137,9879090,11.5
"1999","1999","30-34 years","30-34","Female","F",196,10249123,1.9
"1999","1999","30-34 years","30-34","Male","M",1133,10354226,10.9
"1999","1999","35-39 years","35-39","Female","F",268,11474154,2.3
"1999","1999","35-39 years","35-39","Male","M",1349,11408395,11.8
"1999","1999","40-44 years","40-44","Female","F",243,11195450,2.2
"1999","1999","40-44 years","40-44","Male","M",1237,10998678,11.2
"1999","1999","45-49 years","45-49","Female","F",241,9987734,2.4
"1999","1999","45-49 years","45-49","Male","M",1221,9666473,12.6
"1999","1999","50-54 years","50-54","Female","F",185,8644571,2.1
"1999","1999","50-54 years","50-54","Male","M",1030,8279041,12.4
"1999","1999","55-59 years","55-59","Female","F",176,6765034,2.6
"1999","1999","55-59 years","55-59","Male","M",882,6319787,14
"1999","1999","60-64 years ","60-64","Female","F",90,5613729,1.6
"1999","1999","60-64 years ","60-64","Male","M",712,5079476,14
"1999","1999","65-69 years","65-69","Female","F",85,5141988,1.7
"1999","1999","65-69 years","65-69","Male","M",742,4399510,16.9
"1999","1999","70-74 years","70-74","Female","F",91,4983436,1.8
"1999","1999","70-74 years","70-74","Male","M",873,3893975,22.4
"1999","1999","75-79 years","75-79","Female","F",71,4331221,1.6
"1999","1999","75-79 years","75-79","Male","M",875,3011385,29.1
"1999","1999","80-84 years","80-84","Female","F",36,3079977,1.2
"1999","1999","80-84 years","80-84","Male","M",624,1802331,34.6
"1999","1999","85-89 years","85-89","Female","F",23,0,0
"1999","1999","85-89 years","85-89","Male","M",376,0,0
"1999","1999","90-94 years","90-94","Female","F",3,0,0
"1999","1999","90-94 years","90-94","Male","M",99,0,0
"1999","1999","95-99 years","95-99","Female","F",2,0,0
"1999","1999","95-99 years","95-99","Male","M",21,0,0
"1999","1999","100+ years","100+","Female","F",0,0,0
"1999","1999","100+ years","100+","Male","M",0,0,0
"1999","1999","Not Stated","NS","Female","F",0,0,0
"1999","1999","Not Stated","NS","Male","M",5,0,0
"2000","2000","< 1 year","1","Female","F",0,1856631,0
"2000","2000","< 1 year","1","Male","M",0,1949017,0
"2000","2000","1-4 years","1-4","Female","F",0,7508434,0
"2000","2000","1-4 years","1-4","Male","M",0,7861716,0
"2000","2000","5-9 years","5-9","Female","F",0,10026228,0
"2000","2000","5-9 years","5-9","Male","M",0,10523277,0
"2000","2000","10-14 years","10-14","Female","F",20,10007875,0.2
"2000","2000","10-14 years","10-14","Male","M",90,10520197,0.9
"2000","2000","15-19 years","15-19","Female","F",104,9828886,1.1
"2000","2000","15-19 years","15-19","Male","M",793,10391004,7.6
"2000","2000","20-24 years","20-24","Female","F",120,9276187,1.3
"2000","2000","20-24 years","20-24","Male","M",1250,9687814,12.9
"2000","2000","25-29 years","25-29","Female","F",139,9582576,1.5
"2000","2000","25-29 years","25-29","Male","M",1084,9798760,11.1
"2000","2000","30-34 years","30-34","Female","F",191,10188619,1.9
"2000","2000","30-34 years","30-34","Male","M",1039,10321769,10.1
"2000","2000","35-39 years","35-39","Female","F",266,11387968,2.3
"2000","2000","35-39 years","35-39","Male","M",1255,11318696,11.1
"2000","2000","40-44 years","40-44","Female","F",268,11312761,2.4
"2000","2000","40-44 years","40-44","Male","M",1402,11129102,12.6
"2000","2000","45-49 years","45-49","Female","F",228,10202898,2.2
"2000","2000","45-49 years","45-49","Male","M",1263,9889506,12.8
"2000","2000","50-54 years","50-54","Female","F",221,8977824,2.5
"2000","2000","50-54 years","50-54","Male","M",1146,8607724,13.3
"2000","2000","55-59 years","55-59","Female","F",147,6960508,2.1
"2000","2000","55-59 years","55-59","Male","M",854,6508729,13.1
"2000","2000","60-64 years ","60-64","Female","F",118,5668820,2.1
"2000","2000","60-64 years ","60-64","Male","M",714,5136627,13.9
"2000","2000","65-69 years","65-69","Female","F",93,5133183,1.8
"2000","2000","65-69 years","65-69","Male","M",698,4400362,15.9
"2000","2000","70-74 years","70-74","Female","F",79,4954529,1.6
"2000","2000","70-74 years","70-74","Male","M",830,3902912,21.3
"2000","2000","75-79 years","75-79","Female","F",61,4371357,1.4
"2000","2000","75-79 years","75-79","Male","M",856,3044456,28.1
"2000","2000","80-84 years","80-84","Female","F",45,3110470,1.4
"2000","2000","80-84 years","80-84","Male","M",649,1834897,35.4
"2000","2000","85-89 years","85-89","Female","F",22,0,0
"2000","2000","85-89 years","85-89","Male","M",388,0,0
"2000","2000","90-94 years","90-94","Female","F",10,0,0
"2000","2000","90-94 years","90-94","Male","M",119,0,0
"2000","2000","95-99 years","95-99","Female","F",0,0,0
"2000","2000","95-99 years","95-99","Male","M",18,0,0
"2000","2000","100+ years","100+","Female","F",0,0,0
"2000","2000","100+ years","100+","Male","M",1,0,0
"2000","2000","Not Stated","NS","Female","F",0,0,0
"2000","2000","Not Stated","NS","Male","M",5,0,0
"2001","2001","< 1 year","1","Female","F",0,1962905,0
"2001","2001","< 1 year","1","Male","M",0,2049753,0
"2001","2001","1-4 years","1-4","Female","F",0,7468536,0
"2001","2001","1-4 years","1-4","Male","M",0,7817023,0
"2001","2001","5-9 years","5-9","Female","F",0,9844298,0
"2001","2001","5-9 years","5-9","Male","M",0,10329064,0
"2001","2001","10-14 years","10-14","Female","F",21,10231469,0.2
"2001","2001","10-14 years","10-14","Male","M",69,10747209,0.6
"2001","2001","15-19 years","15-19","Female","F",95,9908897,1
"2001","2001","15-19 years","15-19","Male","M",743,10547387,7
"2001","2001","20-24 years","20-24","Female","F",100,9676950,1
"2001","2001","20-24 years","20-24","Male","M",1192,10080336,11.8
"2001","2001","25-29 years","25-29","Female","F",141,9303113,1.5
"2001","2001","25-29 years","25-29","Male","M",1122,9516234,11.8
"2001","2001","30-34 years","30-34","Female","F",177,10263930,1.7
"2001","2001","30-34 years","30-34","Male","M",1124,10388245,10.8
"2001","2001","35-39 years","35-39","Female","F",229,11141510,2.1
"2001","2001","35-39 years","35-39","Male","M",1200,11094408,10.8
"2001","2001","40-44 years","40-44","Female","F",250,11500919,2.2
"2001","2001","40-44 years","40-44","Male","M",1351,11314915,11.9
"2001","2001","45-49 years","45-49","Female","F",243,10505949,2.3
"2001","2001","45-49 years","45-49","Male","M",1309,10193034,12.8
"2001","2001","50-54 years","50-54","Female","F",229,9541132,2.4
"2001","2001","50-54 years","50-54","Male","M",1242,9146153,13.6
"2001","2001","55-59 years","55-59","Female","F",175,7209396,2.4
"2001","2001","55-59 years","55-59","Male","M",1020,6759579,15.1
"2001","2001","60-64 years ","60-64","Female","F",137,5834170,2.3
"2001","2001","60-64 years ","60-64","Male","M",751,5302150,14.2
"2001","2001","65-69 years","65-69","Female","F",96,5134618,1.9
"2001","2001","65-69 years","65-69","Male","M",761,4427615,17.2
"2001","2001","70-74 years","70-74","Female","F",70,4908508,1.4
"2001","2001","70-74 years","70-74","Male","M",831,3913438,21.2
"2001","2001","75-79 years","75-79","Female","F",74,4378159,1.7
"2001","2001","75-79 years","75-79","Male","M",846,3077254,27.5
"2001","2001","80-84 years","80-84","Female","F",43,3211574,1.3
"2001","2001","80-84 years","80-84","Male","M",685,1926631,35.6
"2001","2001","85-89 years","85-89","Female","F",22,0,0
"2001","2001","85-89 years","85-89","Male","M",360,0,0
"2001","2001","90-94 years","90-94","Female","F",9,0,0
"2001","2001","90-94 years","90-94","Male","M",126,0,0
"2001","2001","95-99 years","95-99","Female","F",0,0,0
"2001","2001","95-99 years","95-99","Male","M",18,0,0
"2001","2001","100+ years","100+","Female","F",0,0,0
"2001","2001","100+ years","100+","Male","M",2,0,0
"2001","2001","Not Stated","NS","Female","F",0,0,0
"2001","2001","Not Stated","NS","Male","M",6,0,0
"2002","2002","< 1 year","1","Female","F",0,1932939,0
"2002","2002","< 1 year","1","Male","M",0,2018522,0
"2002","2002","1-4 years","1-4","Female","F",0,7564711,0
"2002","2002","1-4 years","1-4","Male","M",0,7913020,0
"2002","2002","5-9 years","5-9","Female","F",0,9699735,0
"2002","2002","5-9 years","5-9","Male","M",0,10172682,0
"2002","2002","10-14 years","10-14","Female","F",18,10371422,0
"2002","2002","10-14 years","10-14","Male","M",68,10889999,0.6
"2002","2002","15-19 years","15-19","Female","F",74,9981879,0.7
"2002","2002","15-19 years","15-19","Male","M",668,10628491,6.3
"2002","2002","20-24 years","20-24","Female","F",117,9916245,1.2
"2002","2002","20-24 years","20-24","Male","M",1229,10327520,11.9
"2002","2002","25-29 years","25-29","Female","F",149,9248586,1.6
"2002","2002","25-29 years","25-29","Male","M",1068,9442754,11.3
"2002","2002","30-34 years","30-34","Female","F",172,10270193,1.7
"2002","2002","30-34 years","30-34","Male","M",1010,10388113,9.7
"2002","2002","35-39 years","35-39","Female","F",216,10903446,2
"2002","2002","35-39 years","35-39","Male","M",1234,10847772,11.4
"2002","2002","40-44 years","40-44","Female","F",269,11536009,2.3
"2002","2002","40-44 years","40-44","Male","M",1438,11353422,12.7
"2002","2002","45-49 years","45-49","Female","F",258,10785791,2.4
"2002","2002","45-49 years","45-49","Male","M",1394,10466497,13.3
"2002","2002","50-54 years","50-54","Female","F",201,9571812,2.1
"2002","2002","50-54 years","50-54","Male","M",1283,9168094,14
"2002","2002","55-59 years","55-59","Female","F",180,7801990,2.3
"2002","2002","55-59 years","55-59","Male","M",1115,7341077,15.2
"2002","2002","60-64 years ","60-64","Female","F",124,6051668,2
"2002","2002","60-64 years ","60-64","Male","M",815,5508597,14.8
"2002","2002","65-69 years","65-69","Female","F",93,5163814,1.8
"2002","2002","65-69 years","65-69","Male","M",753,4474667,16.8
"2002","2002","70-74 years","70-74","Female","F",63,4852844,1.3
"2002","2002","70-74 years","70-74","Male","M",867,3897210,22.2
"2002","2002","75-79 years","75-79","Female","F",64,4368692,1.5
"2002","2002","75-79 years","75-79","Male","M",854,3101769,27.5
"2002","2002","80-84 years","80-84","Female","F",40,3295412,1.2
"2002","2002","80-84 years","80-84","Male","M",722,1998991,36.1
"2002","2002","85-89 years","85-89","Female","F",18,0,0
"2002","2002","85-89 years","85-89","Male","M",374,0,0
"2002","2002","90-94 years","90-94","Female","F",6,0,0
"2002","2002","90-94 years","90-94","Male","M",127,0,0
"2002","2002","95-99 years","95-99","Female","F",1,0,0
"2002","2002","95-99 years","95-99","Male","M",24,0,0
"2002","2002","100+ years","100+","Female","F",0,0,0
"2002","2002","100+ years","100+","Male","M",0,0,0
"2002","2002","Not Stated","NS","Female","F",0,0,0
"2002","2002","Not Stated","NS","Male","M",2,0,0
"2003","2003","< 1 year","1","Female","F",0,1942634,0
"2003","2003","< 1 year","1","Male","M",0,2033237,0
"2003","2003","1-4 years","1-4","Female","F",0,7636693,0
"2003","2003","1-4 years","1-4","Male","M",0,7979882,0
"2003","2003","5-9 years","5-9","Female","F",0,9581247,0
"2003","2003","5-9 years","5-9","Male","M",1,10039604,0
"2003","2003","10-14 years","10-14","Female","F",11,10444875,0
"2003","2003","10-14 years","10-14","Male","M",62,10970478,0.6
"2003","2003","15-19 years","15-19","Female","F",77,10086567,0.8
"2003","2003","15-19 years","15-19","Male","M",659,10710599,6.2
"2003","2003","20-24 years","20-24","Female","F",119,10093723,1.2
"2003","2003","20-24 years","20-24","Male","M",1220,10497965,11.6
"2003","2003","25-29 years","25-29","Female","F",124,9307104,1.3
"2003","2003","25-29 years","25-29","Male","M",990,9464481,10.5
"2003","2003","30-34 years","30-34","Female","F",158,10193818,1.5
"2003","2003","30-34 years","30-34","Male","M",1109,10278392,10.8
"2003","2003","35-39 years","35-39","Female","F",188,10660101,1.8
"2003","2003","35-39 years","35-39","Male","M",1092,10604058,10.3
"2003","2003","40-44 years","40-44","Female","F",269,11546602,2.3
"2003","2003","40-44 years","40-44","Male","M",1378,11343445,12.1
"2003","2003","45-49 years","45-49","Female","F",286,11017265,2.6
"2003","2003","45-49 years","45-49","Male","M",1419,10705411,13.3
"2003","2003","50-54 years","50-54","Female","F",225,9759654,2.3
"2003","2003","50-54 years","50-54","Male","M",1349,9337624,14.4
"2003","2003","55-59 years","55-59","Female","F",207,8141956,2.5
"2003","2003","55-59 years","55-59","Male","M",1122,7672601,14.6
"2003","2003","60-64 years ","60-64","Female","F",109,6377463,1.7
"2003","2003","60-64 years ","60-64","Male","M",879,5816925,15.1
"2003","2003","65-69 years","65-69","Female","F",86,5253706,1.6
"2003","2003","65-69 years","65-69","Male","M",747,4577090,16.3
"2003","2003","70-74 years","70-74","Female","F",76,4794496,1.6
"2003","2003","70-74 years","70-74","Male","M",791,3875623,20.4
"2003","2003","75-79 years","75-79","Female","F",71,4365982,1.6
"2003","2003","75-79 years","75-79","Male","M",815,3131860,26
"2003","2003","80-84 years","80-84","Female","F",44,3347175,1.3
"2003","2003","80-84 years","80-84","Male","M",665,2051421,32.4
"2003","2003","85-89 years","85-89","Female","F",24,0,0
"2003","2003","85-89 years","85-89","Male","M",375,0,0
"2003","2003","90-94 years","90-94","Female","F",4,0,0
"2003","2003","90-94 years","90-94","Male","M",132,0,0
"2003","2003","95-99 years","95-99","Female","F",2,0,0
"2003","2003","95-99 years","95-99","Male","M",22,0,0
"2003","2003","100+ years","100+","Female","F",0,0,0
"2003","2003","100+ years","100+","Male","M",0,0,0
"2003","2003","Not Stated","NS","Female","F",0,0,0
"2003","2003","Not Stated","NS","Male","M",0,0,0
"2004","2004","< 1 year","1","Female","F",0,1962216,0
"2004","2004","< 1 year","1","Male","M",0,2052042,0
"2004","2004","1-4 years","1-4","Female","F",0,7713175,0
"2004","2004","1-4 years","1-4","Male","M",0,8058452,0
"2004","2004","5-9 years","5-9","Female","F",0,9503231,0
"2004","2004","5-9 years","5-9","Male","M",0,9951006,0
"2004","2004","10-14 years","10-14","Female","F",9,10443706,0
"2004","2004","10-14 years","10-14","Male","M",50,10967974,0.5
"2004","2004","15-19 years","15-19","Female","F",99,10242793,1
"2004","2004","15-19 years","15-19","Male","M",688,10859759,6.3
"2004","2004","20-24 years","20-24","Female","F",116,10190641,1.1
"2004","2004","20-24 years","20-24","Male","M",1201,10654919,11.3
"2004","2004","25-29 years","25-29","Female","F",128,9479080,1.4
"2004","2004","25-29 years","25-29","Male","M",987,9627975,10.3
"2004","2004","30-34 years","30-34","Female","F",177,10041145,1.8
"2004","2004","30-34 years","30-34","Male","M",991,10118356,9.8
"2004","2004","35-39 years","35-39","Female","F",194,10453320,1.9
"2004","2004","35-39 years","35-39","Male","M",1039,10421329,10
"2004","2004","40-44 years","40-44","Female","F",298,11562414,2.6
"2004","2004","40-44 years","40-44","Male","M",1337,11363212,11.8
"2004","2004","45-49 years","45-49","Female","F",319,11184506,2.9
"2004","2004","45-49 years","45-49","Male","M",1465,10880756,13.5
"2004","2004","50-54 years","50-54","Female","F",269,9999623,2.7
"2004","2004","50-54 years","50-54","Male","M",1296,9565045,13.5
"2004","2004","55-59 years","55-59","Female","F",182,8547949,2.1
"2004","2004","55-59 years","55-59","Male","M",1101,8059227,13.7
"2004","2004","60-64 years ","60-64","Female","F",152,6637798,2.3
"2004","2004","60-64 years ","60-64","Male","M",893,6060330,14.7
"2004","2004","65-69 years","65-69","Female","F",77,5370418,1.4
"2004","2004","65-69 years","65-69","Male","M",717,4703011,15.2
"2004","2004","70-74 years","70-74","Female","F",79,4739945,1.7
"2004","2004","70-74 years","70-74","Male","M",758,3854159,19.7
"2004","2004","75-79 years","75-79","Female","F",75,4321319,1.7
"2004","2004","75-79 years","75-79","Male","M",828,3140080,26.4
"2004","2004","80-84 years","80-84","Female","F",34,3417423,1
"2004","2004","80-84 years","80-84","Male","M",651,2111081,30.8
"2004","2004","85-89 years","85-89","Female","F",16,0,0
"2004","2004","85-89 years","85-89","Male","M",371,0,0
"2004","2004","90-94 years","90-94","Female","F",2,0,0
"2004","2004","90-94 years","90-94","Male","M",126,0,0
"2004","2004","95-99 years","95-99","Female","F",1,0,0
"2004","2004","95-99 years","95-99","Male","M",17,0,0
"2004","2004","100+ years","100+","Female","F",0,0,0
"2004","2004","100+ years","100+","Male","M",4,0,0
"2004","2004","Not Stated","NS","Female","F",0,0,0
"2004","2004","Not Stated","NS","Male","M",3,0,0
"2005","2005","< 1 year","1","Female","F",0,1956682,0
"2005","2005","< 1 year","1","Male","M",0,2047711,0
"2005","2005","1-4 years","1-4","Female","F",0,7785123,0
"2005","2005","1-4 years","1-4","Male","M",0,8127884,0
"2005","2005","5-9 years","5-9","Female","F",0,9473900,0
"2005","2005","5-9 years","5-9","Male","M",0,9915167,0
"2005","2005","10-14 years","10-14","Female","F",12,10348382,0
"2005","2005","10-14 years","10-14","Male","M",72,10864197,0.7
"2005","2005","15-19 years","15-19","Female","F",80,10434789,0.8
"2005","2005","15-19 years","15-19","Male","M",658,11051425,6
"2005","2005","20-24 years","20-24","Female","F",111,10222806,1.1
"2005","2005","20-24 years","20-24","Male","M",1113,10737149,10.4
"2005","2005","25-29 years","25-29","Female","F",127,9712544,1.3
"2005","2005","25-29 years","25-29","Male","M",998,9822166,10.2
"2005","2005","30-34 years","30-34","Female","F",161,9835154,1.6
"2005","2005","30-34 years","30-34","Male","M",983,9888783,9.9
"2005","2005","35-39 years","35-39","Female","F",177,10411620,1.7
"2005","2005","35-39 years","35-39","Male","M",1069,10387033,10.3
"2005","2005","40-44 years","40-44","Female","F",262,11453723,2.3
"2005","2005","40-44 years","40-44","Male","M",1347,11253162,12
"2005","2005","45-49 years","45-49","Female","F",284,11357088,2.5
"2005","2005","45-49 years","45-49","Male","M",1520,11060083,13.7
"2005","2005","50-54 years","50-54","Female","F",243,10257441,2.4
"2005","2005","50-54 years","50-54","Male","M",1425,9821292,14.5
"2005","2005","55-59 years","55-59","Female","F",206,9007859,2.3
"2005","2005","55-59 years","55-59","Male","M",1192,8495361,14
"2005","2005","60-64 years ","60-64","Female","F",124,6860551,1.8
"2005","2005","60-64 years ","60-64","Male","M",948,6277726,15.1
"2005","2005","65-69 years","65-69","Female","F",94,5469500,1.7
"2005","2005","65-69 years","65-69","Male","M",733,4809127,15.2
"2005","2005","70-74 years","70-74","Female","F",74,4729069,1.6
"2005","2005","70-74 years","70-74","Male","M",768,3874001,19.8
"2005","2005","75-79 years","75-79","Female","F",56,4299256,1.3
"2005","2005","75-79 years","75-79","Male","M",828,3164353,26.2
"2005","2005","80-84 years","80-84","Female","F",45,3454579,1.3
"2005","2005","80-84 years","80-84","Male","M",720,2156614,33.4
"2005","2005","85-89 years","85-89","Female","F",22,0,0
"2005","2005","85-89 years","85-89","Male","M",382,0,0
"2005","2005","90-94 years","90-94","Female","F",7,0,0
"2005","2005","90-94 years","90-94","Male","M",135,0,0
"2005","2005","95-99 years","95-99","Female","F",0,0,0
"2005","2005","95-99 years","95-99","Male","M",24,0,0
"2005","2005","100+ years","100+","Female","F",0,0,0
"2005","2005","100+ years","100+","Male","M",1,0,0
"2005","2005","Not Stated","NS","Female","F",1,0,0
"2005","2005","Not Stated","NS","Male","M",0,0,0
"2006","2006","< 1 year","1","Female","F",0,1975919,0
"2006","2006","< 1 year","1","Male","M",0,2065819,0
"2006","2006","1-4 years","1-4","Female","F",0,7775092,0
"2006","2006","1-4 years","1-4","Male","M",0,8122053,0
"2006","2006","5-9 years","5-9","Female","F",0,9555173,0
"2006","2006","5-9 years","5-9","Male","M",0,9989515,0
"2006","2006","10-14 years","10-14","Female","F",10,10261944,0
"2006","2006","10-14 years","10-14","Male","M",52,10771194,0.5
"2006","2006","15-19 years","15-19","Female","F",62,10597293,0.6
"2006","2006","15-19 years","15-19","Male","M",639,11210416,5.7
"2006","2006","20-24 years","20-24","Female","F",120,10238784,1.2
"2006","2006","20-24 years","20-24","Male","M",1157,10797351,10.7
"2006","2006","25-29 years","25-29","Female","F",143,10014422,1.4
"2006","2006","25-29 years","25-29","Male","M",978,10095589,9.7
"2006","2006","30-34 years","30-34","Female","F",115,9611918,1.2
"2006","2006","30-34 years","30-34","Male","M",914,9673250,9.4
"2006","2006","35-39 years","35-39","Female","F",205,10489448,2
"2006","2006","35-39 years","35-39","Male","M",1105,10451785,10.6
"2006","2006","40-44 years","40-44","Female","F",258,11238163,2.3
"2006","2006","40-44 years","40-44","Male","M",1253,11064405,11.3
"2006","2006","45-49 years","45-49","Female","F",307,11505455,2.7
"2006","2006","45-49 years","45-49","Male","M",1476,11209831,13.2
"2006","2006","50-54 years","50-54","Female","F",267,10506120,2.5
"2006","2006","50-54 years","50-54","Male","M",1431,10064753,14.2
"2006","2006","55-59 years","55-59","Female","F",213,9473065,2.2
"2006","2006","55-59 years","55-59","Male","M",1267,8923795,14.2
"2006","2006","60-64 years ","60-64","Female","F",165,7058989,2.3
"2006","2006","60-64 years ","60-64","Male","M",917,6474264,14.2
"2006","2006","65-69 years","65-69","Female","F",99,5609202,1.8
"2006","2006","65-69 years","65-69","Male","M",787,4943999,15.9
"2006","2006","70-74 years","70-74","Female","F",68,4741436,1.4
"2006","2006","70-74 years","70-74","Male","M",735,3908390,18.8
"2006","2006","75-79 years","75-79","Female","F",48,4269136,1.1
"2006","2006","75-79 years","75-79","Male","M",822,3177898,25.9
"2006","2006","80-84 years","80-84","Female","F",44,3463549,1.3
"2006","2006","80-84 years","80-84","Male","M",648,2184568,29.7
"2006","2006","85-89 years","85-89","Female","F",18,0,0
"2006","2006","85-89 years","85-89","Male","M",401,0,0
"2006","2006","90-94 years","90-94","Female","F",6,0,0
"2006","2006","90-94 years","90-94","Male","M",137,0,0
"2006","2006","95-99 years","95-99","Female","F",1,0,0
"2006","2006","95-99 years","95-99","Male","M",13,0,0
"2006","2006","100+ years","100+","Female","F",0,0,0
"2006","2006","100+ years","100+","Male","M",1,0,0
"2006","2006","Not Stated","NS","Female","F",0,0,0
"2006","2006","Not Stated","NS","Male","M",1,0,0
"2007","2007","< 1 year","1","Female","F",0,2027181,0
"2007","2007","< 1 year","1","Male","M",0,2120816,0
"2007","2007","1-4 years","1-4","Female","F",0,7813088,0
"2007","2007","1-4 years","1-4","Male","M",0,8164877,0
"2007","2007","5-9 years","5-9","Female","F",0,9640683,0
"2007","2007","5-9 years","5-9","Male","M",0,10073928,0
"2007","2007","10-14 years","10-14","Female","F",8,10170082,0
"2007","2007","10-14 years","10-14","Male","M",45,10670960,0.4
"2007","2007","15-19 years","15-19","Female","F",58,10731326,0.5
"2007","2007","15-19 years","15-19","Male","M",572,11336490,5
"2007","2007","20-24 years","20-24","Female","F",115,10270163,1.1
"2007","2007","20-24 years","20-24","Male","M",1155,10807836,10.7
"2007","2007","25-29 years","25-29","Female","F",121,10229259,1.2
"2007","2007","25-29 years","25-29","Male","M",1030,10313439,10
"2007","2007","30-34 years","30-34","Female","F",152,9559334,1.6
"2007","2007","30-34 years","30-34","Male","M",1003,9611431,10.4
"2007","2007","35-39 years","35-39","Female","F",196,10502839,1.9
"2007","2007","35-39 years","35-39","Male","M",1080,10461052,10.3
"2007","2007","40-44 years","40-44","Female","F",290,10999163,2.6
"2007","2007","40-44 years","40-44","Male","M",1313,10833176,12.1
"2007","2007","45-49 years","45-49","Female","F",300,11542213,2.6
"2007","2007","45-49 years","45-49","Male","M",1463,11257548,13
"2007","2007","50-54 years","50-54","Female","F",254,10795749,2.4
"2007","2007","50-54 years","50-54","Male","M",1514,10344429,14.6
"2007","2007","55-59 years","55-59","Female","F",219,9509473,2.3
"2007","2007","55-59 years","55-59","Male","M",1331,8945299,14.9
"2007","2007","60-64 years ","60-64","Female","F",170,7639198,2.2
"2007","2007","60-64 years ","60-64","Male","M",1066,7034464,15.2
"2007","2007","65-69 years","65-69","Female","F",97,5824805,1.7
"2007","2007","65-69 years","65-69","Male","M",844,5145430,16.4
"2007","2007","70-74 years","70-74","Female","F",64,4770997,1.3
"2007","2007","70-74 years","70-74","Male","M",695,3957495,17.6
"2007","2007","75-79 years","75-79","Female","F",64,4225224,1.5
"2007","2007","75-79 years","75-79","Male","M",855,3175139,26.9
"2007","2007","80-84 years","80-84","Female","F",42,3469267,1.2
"2007","2007","80-84 years","80-84","Male","M",628,2217809,28.3
"2007","2007","85-89 years","85-89","Female","F",16,0,0
"2007","2007","85-89 years","85-89","Male","M",419,0,0
"2007","2007","90-94 years","90-94","Female","F",4,0,0
"2007","2007","90-94 years","90-94","Male","M",144,0,0
"2007","2007","95-99 years","95-99","Female","F",1,0,0
"2007","2007","95-99 years","95-99","Male","M",21,0,0
"2007","2007","100+ years","100+","Female","F",0,0,0
"2007","2007","100+ years","100+","Male","M",1,0,0
"2007","2007","Not Stated","NS","Female","F",0,0,0
