,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
225,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",10/2/2006,Bart Township,Close,school girls,terrorism,6,5,10,0,32,,,Unknown,White American or European American,Male,40.04214385,-76.30100872
226,Duquesne University,"Pittsburgh, Pennsylvania",9/17/2006,,,basketball players,frustration,0,5,5,0,18,,,Unknown,Black American or African American,Male,40.43948548,-79.97631581
227,Orange High School,"Hillsborough, North Carolina",8/30/2006,Home+School,Close,random,psycho,1,2,3,0,18,,,Yes,Some other race,Male,36.04099857,-79.09701201
228,Essex Elementary School,"Essex Junction, Vermont",8/24/2006,Home+School,Close,Ex-GirlFriend,psycho,2,2,4,0,26,,,Yes,Black American or African American,Male,44.49022039,-73.11400628
229,Capitol Hill massacre,"Seattle, Washington",3/25/2006,Capitol Hill neighborhood of Seattle,,random,drunk,7,2,9,0,28,,,No,white,Male,47.6229,-122.3165
230,Goleta Post Office,"Goleta, California",1/30/2006,Goleta Post Office,Close,Coworkers,psycho,8,0,7,0,44,1,Goleta Post Office,Yes,White American or European American,Female,34.43606107,-119.8593619
231,Red Lake High School,"Red Lake, Minnesota",3/21/2005,Home+School,Close,random,psycho,10,5,14,0,16,,,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009
232,Living Church of God,"Brookfield, Wisconsin",3/12/2005,Church,Close,random,frustration,8,4,11,0,44,,,No,White American or European American,Male,43.06396691,-88.12299758
233,Tyler Courthouse,"Tyler, Texas",2/24/2005,Smith County Courthouse,Open,Ex-Wife,frustration,3,4,6,0,43,,,Unknown,Some other race,Male,32.3154272,-95.30501087
234,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",12/8/2004,,Open+Close,random,frustration,5,7,11,0,25,,,Yes,White American or European American,Male,39.98861445,-82.98904135
235,"Birchwood, Wisconsin","Birchwood, Wisconsin",11/21/2004,forests of Birchwood,Open,hunters,anger,6,2,8,0,36,,,No,Asian American,Male,45.65773714,-91.55077175
236,Windy City Core Supply Warehouse,"Chicago, Illinois",8/27/2003,Warehouse,Close,Coworkers,unemployement,7,0,6,0,36,0,,No,Some other race,Male,41.83928045,-87.68818145
237,Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,Workplace,Close,random,racism,7,8,15,0,48,,,Yes,white,Male,32.376081,-88.68978002
238,Case Western Reserve University,"Cleveland, Ohio",5/9/2003,School,Close,Students+Teachers,terrorism,1,2,3,0,,,,No,Asian American,Male,41.47657557,-81.68051502
239,University of Arizona College of Nursing,"Tucson, Arizona",10/28/2002,University of Arizona,Close,Teachers,failing exams,4,0,3,0,41,,,No,Some other race,Male,32.15358905,-110.9677647
240,Appalachian School of Law,"Grundy, Virginia",1/16/2002,Appalachian School of Law,Close,Students+Teachers,anger,3,3,6,0,43,,,No,Black American or African American,Male,37.27537712,-82.09877234
241,Santana High School,"Santee, San Diego, California",3/5/2001,Santana High School,Close,Students,terrorism,2,13,15,0,15,,,No,White American or European American,Male,32.86357277,-117.1281628
242,Navistar International,"Melrose Park, Illinois",2/5/2001,Navistar in Melrose Park,Close,Coworkers,unemployement,6,4,9,0,66,0,,No,Black American or African American,Male,41.90289602,-87.8643021
243,Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,Edgewater Technology,Close,Coworkers,,7,0,7,0,42,1,Edgewater Technology,Yes,white,Male,42.506484,-71.0728306
244,Radisson Bay Harbor Inn,"Tampa, Florida",12/30/1999,,Open+Close,Coworkers,,5,3,8,0,36,1,Radisson Bay Harbor Inn,No,Some other race,Male,27.99601861,-82.44503769
245,Fort Gibson Middle School,"Fort Gibson, Oklahoma",12/6/1999,Fort Gibson Middle School,Close,Students,,0,4,4,0,13,,,No,White American or European American,Male,35.77669911,-95.25996596
246,Xerox killings,"Honolulu, Hawaii",11/2/1999,,Close,random,,7,0,7,0,40,1,Xerox Service Technician,Yes,Asian,Male,21.3255125,-157.8473055
247,Wedgwood Baptist Church,"Fort Worth, Texas",9/15/1999,Church,Close,random,terrorism,8,7,14,0,47,,,Yes,White American or European American,Male,32.74802142,-97.31305148
248,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",7/29/1999,Home+Stock Exchange Office,Close,random,psycho,10,12,21,0,44,,,Yes,White American or European American,Male,33.7629969,-84.4231328
249,Heritage High School,"Conyers, Georgia",5/20/1999,Heritage High School,,Students,breakup,0,6,6,0,15,,,No,White American or European American,Male,33.66086267,-84.02688527
250,Columbine High School,"Littleton, Colorado",4/20/1999,Columbine High School,,Students+Teachers,terrorism,15,24,37,0,"17,18",,,Yes,White American or European American,Male,39.59358263,-105.0152112
251,Riverside City Hall,"Riverside, California",10/6/1998,City Hall Building,Close,random,terrorism,0,6,6,0,48,1,U.S. Postal Service,No,Black American or African American,Male,33.93814348,-117.3948409
252,Thurston High School,"Springfield, Oregon",5/21/1998,Home+School,Close,Students+Parents,psycho,4,25,29,0,15,,,Yes,White American or European American,Male,44.05489698,-123.0075562
253,Parker Middle School Dance,"Edinboro, Pennsylvania",4/24/1998,Banquet Hall,Close,random,,1,3,4,0,14,,,Yes,White American or European American,Male,41.87617136,-80.12459632
254,Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,School,Close,Students+Teachers,,5,10,15,0,"13,11",,,No,white,Male,35.8209895,-90.6682606
255,Connecticut State Lottery Headquarters,"Newington, Connecticut",3/6/1998,Workplace,Close,Coworkers,anger,5,0,4,0,35,1,State Lottery,Yes,White American or European American,Male,41.68700845,-72.73083927
256,Milwaukee Post Office,"Milwaukee, Wisconsin",12/19/1997,Workplace,Close,Coworkers,,2,2,3,0,37,1,Milwaukee,No,Black American or African American,Male,43.06420322,-87.96724385
257,Caltrans Maintenance Yard,"Orange, California",12/18/1997,Workplace,Close,Ex-Coworkers,unemployement,5,2,6,1,41,0,,No,Some other race,Male,33.78935598,-117.820412
258,Heath High School,"West Paducah, Kentucky",12/1/1997,Health High School,,prayer group,psycho,3,5,8,0,14,,,Yes,White American or European American,Male,37.08506,-88.74422
259,Pearl High School,"Pearl, Mississippi",10/1/1997,Home+School,Close,random,psycho,2,7,9,0,16,,,Yes,White American or European American,Male,32.27492783,-90.09470655
260,R.E. Phelon Company,"Aiken, South Carolina",9/15/1997,R.R. Phelon Company,Open+Close,Ex-Coworkers,unemployement,4,3,7,1,43,0,,No,Black American or African American,Male,33.47524551,-81.72595949
261,Bethel Regional High School,"Bethel, Alaska",2/19/1997,Bethel Regional High School,Close,Students+Teachers,frustration,2,2,4,0,16,,,Yes,White American or European American,Male,60.79053882,-161.7927517
262,San Diego State University,"San Diego, California",8/15/1996,San Diego State University,Close,Teachers,,3,0,3,0,36,,,No,White American or European American,Male,32.86357277,-117.1281628
263,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,,,Ex-Coworkers,revenge,6,1,7,0,41,0,,Yes,black,Male,26.1223084,-80.1433786
264,Frontier Junior High School,"Moses Lake, Washington",2/2/1996,Frontier Junior High School,Close,Students+Teachers,frustration,3,1,4,0,14,,,Yes,White American or European American,Male,47.12189424,-119.2750699
265,Richland High School,"Lynnville, Tennessee",11/15/1995,Richland High School,Close,Students+Teachers,,2,1,3,0,17,,,Yes,White American or European American,Male,35.37810374,-87.00610559
266,Walter Rossler Company,"Corpus Christi, Texas",4/3/1995,Workplace,Close,Coworkers,anger,6,0,5,0,,1,Walter Rossler,No,Unknown,Male,27.73907518,-97.43073352
267,Montclair Post Office,"Montclair, New Jersey",3/21/1995,Post Office in Montclair,Close,random,unemployement,4,1,5,0,29,0,,No,White American or European American,Male,40.826184,-74.20862
268,Downtown Chapel Hill,"Chapel Hill, North Carolina",1/26/1995,,Open,random,psycho,2,2,4,0,26,,,Yes,White American or European American,Male,35.92681467,-79.03850407
269,Massachusetts Abortion Clinic,"Brookline, Massachusetts",12/30/1994,health clinic,Close,random,terrorism,2,5,7,0,,,,Yes,White American or European American,Male,42.32427392,-71.14080012
270,Wickliffe Middle School,"Wickliffe, Ohio",11/7/1994,Wickliffe Middle School,Close,random,psycho,1,3,4,0,37,,,Yes,White American or European American,Male,41.60713735,-81.46902046
271,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",6/20/1994,hospital,Close,psychologist+psychiatrist,anger,5,23,27,0,20,0,,Yes,White American or European American,Male,47.618456,-117.644099
272,"Residence in Union, Kentucky","Union, Kentucky",5/26/1994,Home+School,Close,random,psycho,4,0,4,0,17,,,No,White American or European American,Male,38.95130818,-84.67066339
273,Chelsea High School,"Chelsea, Michigan",12/16/1993,Chelsea High School,Close,Coworkers,anger,1,2,3,0,39,1,Chelsea High School,Yes,White American or European American,Male,42.31319376,-84.01868108
274,Chuck E. Cheese in Aurora,"Aurora, Colorado",12/14/1993,Chuck E. Cheese,Close,Ex-Coworkers,unemployement,4,1,5,0,19,0,,Yes,Black American or African American,Male,39.69892933,-104.7871863
275,Long Island Rail Road Commuter Train,"Garden City, New York",12/7/1993,Train,Close,random,psycho,6,19,25,0,34,,,No,Black American or African American,Male,40.72662266,-73.644712
276,Central Middle School,"Sheridan, Wyoming",9/17/1993,Central Middle School,Close,random,frustration,1,4,4,0,29,0,,No,White American or European American,Male,44.79051074,-106.9599165
277,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",8/6/1993,Luigi's Restaurant,Close,random,anger,4,8,12,0,22,1,Army,No,White American or European American,Male,35.07997086,-79.03796125
278,Weber State University,"Ogden, Utah",7/8/1993,Weber State University,Close,random,frustration,1,3,3,0,28,,,No,Asian American,Male,41.2281367,-111.9675317
279,Offices of Pettit & Martin in San Francisco,"San Francisco, California",7/1/1993,law firm,Close,lawyers,frustration,9,6,14,0,55,,,No,White American or European American,Male,37.75457839,-122.4424343
280,Dearborn Post Office,"Dearborn, Michigan",5/6/1993,Workplace,Close,Coworkers,frustration,2,2,3,0,45,1,,Unknown,Unknown,Male,42.31269522,-83.21293244
281,Dana Point Post Office,"Dana Point, California",5/6/1993,,Open+CLose,random,psycho,1,5,6,0,38,0,,Yes,White American or European American,Male,33.47316083,-117.696399
282,Simon's Rock College of Bard,"Great Barrington, Massachusetts",12/14/1992,Simon's Rock College of Bard,Close,Students+Teachers,,2,4,6,0,18,,,No,Asian American,Male,42.19358268,-73.36216339
283,Schuyler County Office Building,"Watkins Glen, New York",10/15/1992,County Office Building,Close,Social Workers,frustration,5,0,4,0,50,1,,No,White American or European American,Male,42.38013875,-76.86724659
284,Palo Duro High School,"Amarillo, Texas",9/11/1992,"Amarillo, Texas",,Students,anger,0,6,6,0,17,,,Unknown,Unknown,Male,35.18322484,-101.8805688
285,Lindhurst High School,"Olivehurst, California",5/1/1992,Lindhurst High School,Close,Students+Teachers,failing exams,4,10,14,0,20,,,Yes,White American or European American,Male,39.08174985,-121.5549539
286,Royal Oak Post Office,"Royal Oak, Michigan",11/14/1991,Post Office in Royal Oak,Close,Ex-Coworkers,unemployement,5,5,9,0,31,0,,Yes,White American or European American,Male,42.50840203,-83.15387427
287,University of Iowa,"Iowa City, Iowa",11/1/1991,University of lowa,Close,Coworkers,frustration,6,1,6,0,28,1,University of lowa,No,Asian American,Male,41.65589405,-91.53117986
288,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas",10/16/1991,Luby's Cafeteria,Open,random,unemployement,24,20,43,0,35,0,,Yes,White American or European American,Male,31.07925506,-97.73392317
289,Ridgewood Post Office,"Ridgewood, New Jersey",10/10/1991,,Close,Ex-Coworkers,revenge,3,0,3,0,35,,,Yes,Black American or African American,Male,40.98213277,-74.11264731
290,Wat Promkunaram Buddhist Temple,"Phoenix, Arizona",8/9/1991,Buddhist Monastery,Close,monks,robbery,9,0,9,0,,,,No,Asian American/Some other race,Male,33.57145875,-112.0904854
291,GMAC Loan Office,"Jacksonville, Florida",6/17/1990,,,random,psycho,12,6,17,0,42,,,No,Black American or African American,Male,30.33216122,-81.67576993
292,Standard Gravure Corporation,"Louisville, Kentucky",9/14/1989,Standard Gravure printing company,Close,Ex-Coworkers,frustration,9,12,20,0,47,,,Yes,White American or European American,Male,38.249432,-85.726243
293,Orange Glenn Post Office,"Escondido, California",8/10/1989,,Close,random,psycho,4,1,4,0,52,1,Orange Glenn Post Office,No,White American or European American,Male,33.13439925,-117.0722528
294,Cleveland Elementary School,"Stockton, California",1/17/1989,Cleveland Elementary School,Close,Students+Teachers,terrorism,6,30,35,0,24,0,,Yes,White American or European American,Male,37.96631812,-121.3018775
295,New Orleans Downtown Post Office,"New Orleans, Louisiana",12/14/1988,main post office in downtown New Orleans,Close,,,0,4,4,0,39,1,Post Office,Unknown,Unknown,Male,30.0687242,-89.93147412
296,Oakland Elementary School,"Greenwood, South Carolina",9/26/1988,Oakland Elementary School,Close,Students+Teachers,psycho,2,9,11,0,19,0,,Yes,White American or European American,Male,34.1928952,-82.15355508
297,Comet Auto Parts and Montefiore School,"Chicago, Illinois",9/22/1988,,Open+Close,random,terrorism,5,2,6,1,40,,,No,Black American or African American,Male,41.83928045,-87.68818145
298,Hubbard Woods Elementary School,"Winnetka, Illinois",5/20/1988,Home+School,Close,Students,terrorism,2,7,8,0,30,,,Yes,White American or European American,Female,42.10648807,-87.74211141
299,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",2/16/1988,ESL in Sunnyvale,Open+Close,Ex-Coworkers,revenge,7,4,11,0,39,0,,Yes,White American or European American,Male,37.38344257,-122.0256185
300,Pinellas Park High School,"Pinellas Park, Florida",2/11/1988,School,Close,,frustration,1,2,3,0,"15,16",,,No,White American or European American,Male,27.84887061,-82.71058
301,Palm Bay Shopping Centers,"Palm Bay, Florida",4/23/1987,,Open,random,psycho,6,14,20,0,59,,,Yes,White American or European American,Male,27.98388983,-80.66662713
302,Fergus County High School,"Lewistown, Montana",12/4/1986,Fergus County High School,Close,Teachers,failing exams,1,3,4,0,14,,,Yes,White American or European American,Male,47.03740653,-109.4844918
303,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",8/20/1986,"Edmond, Oklahoma",Close,Coworkers,,15,6,20,0,44,1,Post Office,Yes,White American or European American,Male,35.66889223,-97.41438792
304,New York Technical College,"Brooklyn, New York",8/12/1986,New York Technical College in Brooklyn,Close,Teachers,revenge,1,4,5,0,29,,,Yes,Black American or African American,Male,40.679276,-73.939513
305,Atlanta Post Office,"Atlanta, Georgia",3/6/1985,Atlanta Post Office,Close,Coworkers,anger,2,1,3,0,30,1,Atlanta Post Office,Yes,Black American or African American,Male,33.7629969,-84.4231328
306,Goddard Junior High School,"Goddard, Kansas",1/21/1985,Goddard Junior High School,Close,Students+Teachers,,1,3,4,0,14,,,Yes,White American or European American,Male,37.67129418,-97.55070476
307,McDonald's restaurant in San Ysidro,"San Ysidro, California",7/18/1984,McDonald's restaurant in San Ysidro,Close,random,psycho,22,19,40,0,41,0,,Yes,White American or European American,Male,32.555556,-117.047656
308,Ianni's Club in Dallas,"Dallas, Texas",6/29/1984,lanni's dance club,Close,random,revenge,6,1,7,0,39,,,Yes,White American or European American,Male,32.79480596,-96.76631094
309,49th Street Elementary School,"Los Angeles, California",2/24/1984,,Open,Children,terrorism,3,12,14,0,28,,,Yes,Black American or African American,Male,34.17622092,-118.5399542
310,Johnston Post Office,"Johnston, South Carolina",8/19/1983,Johnston Post Office,Close,postmaster,anger,1,3,4,0,55,0,,Yes,White American or European American,Male,33.83272887,-81.8051584
311,Wah Mee Club in Seattle,"Seattle, Washington",2/18/1983,Wah Mee Gambling Club,Close,random,terrorism,13,1,14,0,23,,,Unknown,Asian American,Male,47.62199575,-122.323646
312,Welding shop in Miami,"Miami, Florida",8/20/1982,,Close,welding shop employees,psycho,9,3,11,0,51,,,Yes,White American or European American,Male,25.79653943,-80.20840397
313,Valley High School,"Las Vegas, Nevada",3/19/1982,Valley High School,Close,Students+Teachers,,1,2,3,0,17,,,Yes,White American or European American,Male,36.18931923,-115.3264875
314,University of South Carolina,"Columbia, South Carolina",10/6/1979,fraternity house party,Close,Students,,2,5,7,0,19,,,Unknown,Black American or African American,Male,34.05098834,-80.82077527
315,Grover Cleveland Elementary School,"San Diego, California",1/29/1979,,Open,Children,terrorism,2,9,11,0,16,,,Yes,White American or European American,Female,32.86357277,-117.1281628
316,Cal State Fullerton,"Fullerton, California",7/12/1976,California State University,Close,random,terrorism,7,2,9,0,37,1,California State University,Yes,White American or European American,Male,33.88404244,-117.92785
317,Los Angeles Computer Learning Center,"Los Angeles, California",2/19/1976,Los Angeles Computer School,Close,Students,anger,1,7,8,0,18,,,Unknown,White American or European American,Male,34.17622092,-118.5399542
318,Olean High School,"Olean, New York",12/30/1974,,Open+Close,random,terrorism,3,7,10,0,17,,,No,White American or European American,Male,42.08185369,-78.43213922
319,Clara Barton Elementary School,"Chicago, Illinois",1/17/1974,Clara Barton Elementary School,Close,Teachers,anger,1,3,4,0,14,,,Yes,Unknown,Male,41.83928045,-87.68818145
320,New Orleans Police Shootings,"New Orleans, Louisiana",12/31/1972,,,random,psycho,10,13,22,4,23,,,Yes,Black American or African American,Male,30.0687242,-89.93147412
321,St. Aloysius Church,"Spokane, Washington",11/11/1971,Church,Close,random,terrorism,2,4,5,0,,,,Yes,White American or European American,Male,47.67367375,-117.4159843
322,Rose-Mar College of Beauty,"Mesa, Arizona",11/12/1966,Rose-Mar College of Beauty,Close,random,terrorism,5,1,6,0,18,,,Yes,White American or European American,Male,33.42268696,-111.8163202
323,University of Texas at Austin,"Austin, Texas",8/1/1966,University of Texas,Close,random,terrorism,17,32,48,0,25,,,Yes,White American or European American,Male,30.1988873,-97.84415949
