"id"	"rate"
01001	23
01003	85
01005	14
01007	17
01009	35
01013	15
01015	79
01017	23
01019	14
01021	20
01025	11
01031	23
01033	25
01039	12
01043	39
01045	19
01047	46
01049	31
01051	57
01053	26
01055	43
01057	12
01059	11
01061	11
01065	10
01069	50
01071	34
01073	474
01077	37
01079	13
01081	73
01083	35
01087	19
01089	159
01091	11
01093	14
01095	48
01097	287
01099	12
01101	170
01103	69
01109	17
01111	11
01113	34
01115	37
01117	83
01121	54
01123	18
01125	83
01127	49
01129	10
02020	186
02050	12
02090	66
02110	14
02122	41
02170	58
02180	13
02188	13
02270	13
04001	30
04003	77
04005	50
04007	25
04009	15
04012	21
04013	1644
04015	156
04017	53
04019	419
04021	167
04025	162
04027	68
05003	12
05005	28
05007	72
05009	23
05015	10
05023	15
05027	13
05029	12
05031	57
05033	26
05035	32
05037	10
05043	10
05045	53
05051	67
05055	30
05059	27
05063	16
05069	59
05083	14
05085	34
05089	10
05091	22
05093	38
05103	10
05107	19
05111	15
05113	10
05115	36
05119	266
05123	12
05125	43
05131	45
05135	10
05139	22
05143	69
05145	31
05149	11
06001	405
06005	19
06007	77
06009	29
06013	304
06015	16
06017	68
06019	251
06021	14
06023	78
06025	16
06029	316
06031	36
06033	47
06035	13
06037	2183
06039	33
06041	52
06043	13
06045	32
06047	76
06053	176
06055	24
06057	47
06059	430
06061	83
06063	16
06065	460
06067	450
06071	549
06073	574
06075	121
06077	264
06079	69
06081	93
06083	91
06085	225
06087	67
06089	86
06093	29
06095	156
06097	96
06099	125
06101	40
06103	20
06105	15
06107	149
06109	20
06111	170
06113	41
06115	32
08001	161
08005	209
08013	73
08014	21
08015	11
08027	11
08029	20
08031	225
08035	104
08037	12
08039	13
08041	339
08043	23
08045	21
08051	14
08059	171
08067	20
08069	141
08075	10
08077	90
08083	18
08085	14
08089	11
08093	15
08101	90
08117	11
08119	16
08123	90
09001	111
09003	131
09005	32
09007	21
09009	154
09011	36
09013	25
09015	22
10001	54
10003	205
10005	55
11001	300
12001	71
12003	10
12005	100
12009	269
12011	509
12015	78
12017	82
12019	82
12021	81
12023	34
12027	13
12029	10
12031	506
12033	143
12035	37
12039	16
12041	16
12043	12
12045	10
12051	20
12053	76
12055	51
12057	447
12059	10
12061	49
12063	13
12069	116
12071	289
12073	77
12075	22
12081	162
12083	164
12085	49
12086	869
12087	34
12089	50
12091	88
12093	17
12095	410
12097	82
12099	522
12101	194
12103	396
12105	210
12107	42
12109	93
12111	121
12113	76
12115	165
12117	135
12119	27
12121	23
12123	13
12127	226
12129	17
12131	26
12133	12
13009	33
13013	29
13015	52
13019	12
13021	86
13029	20
13031	28
13033	22
13039	12
13045	37
13047	25
13051	203
13057	68
13059	32
13063	135
13067	239
13069	20
13071	28
13073	52
13077	50
13081	15
13085	18
13087	17
13089	315
13091	12
13095	43
13097	45
13103	21
13105	10
13107	10
13113	29
13115	43
13117	50
13119	11
13121	480
13123	16
13127	38
13129	19
13131	15
13135	255
13137	17
13139	74
13145	11
13147	15
13151	74
13153	67
13157	33
13163	11
13169	15
13175	20
13177	12
13179	28
13185	39
13187	20
13189	12
13195	11
13199	13
13205	11
13207	11
13215	102
13217	64
13223	66
13225	15
13227	14
13231	11
13233	19
13235	10
13245	104
13247	34
13255	25
13257	15
13261	24
13275	12
13277	24
13285	35
13291	17
13295	28
13297	35
13299	24
13303	12
13305	11
13311	12
13313	28
15001	45
15003	69
15007	15
15009	18
16001	151
16005	37
16009	10
16011	20
16013	12
16017	18
16019	35
16027	62
16035	13
16039	12
16049	13
16051	10
16055	67
16057	15
16069	22
16079	11
16083	42
17001	21
17011	13
17019	40
17021	12
17031	2126
17037	14
17043	109
17055	14
17057	13
17063	13
17073	10
17077	15
17081	13
17089	77
17091	31
17093	14
17095	10
17097	103
17099	23
17105	10
17107	10
17111	43
17113	20
17115	27
17117	12
17119	74
17121	16
17125	10
17133	11
17141	14
17143	48
17157	11
17161	30
17163	144
17167	64
17179	29
17183	35
17197	111
17199	37
17201	97
17203	13
18003	146
18005	20
18011	20
18017	18
18019	38
18021	10
18023	16
18029	17
18031	11
18033	15
18035	42
18037	13
18039	59
18043	26
18051	15
18053	22
18055	16
18057	60
18059	25
18061	16
18063	49
18065	22
18067	25
18071	15
18073	11
18077	20
18079	19
18081	37
18083	21
18085	22
18089	287
18091	32
18095	41
18097	610
18099	16
18105	30
18107	12
18109	17
18117	11
18119	13
18127	53
18133	14
18141	110
18145	17
18157	32
18163	69
18167	45
18173	21
18175	13
18177	22
18183	10
19013	29
19033	12
19049	17
19057	14
19061	14
19103	17
19111	14
19113	56
19125	11
19127	10
19153	129
19155	30
19163	42
19169	13
19179	13
19187	14
19193	16
20009	12
20015	25
20035	12
20037	11
20045	26
20051	10
20055	15
20057	15
20061	15
20091	129
20103	22
20121	13
20125	11
20155	15
20161	16
20169	12
20173	201
20177	86
20209	129
21009	20
21011	10
21013	15
21015	34
21019	25
21021	11
21025	10
21027	13
21029	37
21033	11
21035	22
21037	21
21043	10
21047	35
21049	13
21051	17
21059	41
21067	124
21071	19
21073	22
21081	10
21083	21
21085	18
21089	17
21093	36
21095	15
21099	11
21101	18
21107	28
21111	439
21113	19
21117	47
21121	14
21125	33
21133	11
21137	13
21141	11
21145	21
21151	28
21157	21
21163	11
21167	15
21177	15
21179	22
21185	16
21193	18
21195	32
21199	38
21205	11
21209	20
21211	15
21217	13
21221	12
21227	40
21231	10
21235	21
21239	16
22001	43
22005	59
22007	10
22009	31
22011	18
22015	50
22017	157
22019	99
22029	14
22031	13
22033	286
22039	31
22041	13
22045	32
22047	13
22051	234
22053	22
22055	122
22057	57
22061	19
22063	78
22067	16
22069	28
22071	466
22073	70
22077	17
22079	86
22085	13
22087	25
22089	20
22095	31
22097	59
22099	40
22101	23
22103	105
22105	72
22109	63
22113	25
22115	22
22117	17
22119	18
22121	14
23001	28
23003	25
23005	54
23007	12
23009	17
23011	40
23013	11
23015	14
23017	22
23019	40
23023	11
23025	18
23027	18
23029	15
23031	55
24001	22
24003	131
24005	251
24009	32
24011	11
24013	36
24015	29
24017	43
24019	16
24021	47
24025	67
24027	33
24031	92
24033	270
24035	13
24037	18
24043	49
24045	23
24047	16
24510	680
25001	23
25003	15
25005	61
25009	70
25011	11
25013	75
25015	16
25017	80
25021	48
25023	48
25025	118
25027	83
26005	37
26007	10
26009	13
26011	11
26015	23
26017	39
26021	54
26023	13
26025	50
26027	21
26035	14
26037	17
26041	13
26045	30
26047	14
26049	192
26051	11
26055	21
26059	15
26061	10
26063	10
26065	77
26067	18
26073	10
26075	41
26077	65
26081	124
26087	35
26091	29
26093	53
26099	235
26103	21
26107	13
26109	10
26111	23
26115	39
26117	20
26121	56
26123	19
26125	299
26133	11
26139	35
26145	75
26147	40
26149	20
26151	14
26155	17
26159	20
26161	66
26163	1117
27003	64
27005	11
27009	11
27013	20
27017	12
27019	16
27021	14
27035	18
27037	78
27053	245
27061	19
27095	11
27109	28
27111	22
27123	105
27131	11
27137	59
27139	26
27141	18
27145	34
27163	33
27169	16
27171	27
28001	21
28003	21
28007	11
28011	22
28025	11
28027	28
28029	17
28033	77
28035	39
28039	14
28043	15
28045	25
28047	100
28049	196
28051	10
28059	60
28065	17
28067	27
28071	16
28073	30
28075	41
28079	21
28081	38
28083	20
28085	18
28087	29
28089	49
28091	15
28093	16
28095	11
28097	12
28099	23
28101	15
28105	12
28107	31
28109	25
28113	27
28115	10
28117	12
28121	54
28123	17
28127	11
28133	21
28137	13
28139	12
28147	12
28149	27
28151	44
28153	18
28157	11
28159	14
28163	18
29001	15
29009	13
29015	14
29019	35
29021	29
29023	22
29027	20
29029	26
29031	38
29037	52
29043	26
29047	97
29049	12
29051	27
29055	12
29067	12
29069	16
29071	43
29077	109
29091	23
29095	445
29097	57
29099	107
29101	27
29105	19
29107	10
29109	21
29113	30
29127	13
29131	13
29143	11
29145	30
29155	12
29159	12
29161	24
29163	10
29165	36
29167	12
29169	19
29175	18
29183	111
29187	21
29189	529
29195	11
29201	22
29207	10
29209	25
29213	28
29215	18
29217	11
29219	12
29221	11
29223	10
29225	22
29510	407
30009	11
30013	26
30023	14
30029	47
30031	37
30047	25
30049	31
30053	15
30063	66
30067	12
30081	27
30093	22
30111	70
31019	12
31055	174
31079	11
31109	76
31119	11
31153	34
32001	21
32003	895
32005	23
32007	32
32013	14
32019	43
32023	32
32031	208
32510	26
33001	22
33003	19
33005	18
33007	17
33009	26
33011	131
33013	28
33015	54
33017	33
33019	18
34001	67
34003	68
34005	79
34007	145
34009	21
34011	37
34013	326
34015	42
34017	75
34019	21
34021	80
34023	55
34025	45
34027	41
34029	63
34031	70
34033	19
34035	28
34037	26
34039	71
34041	15
35001	333
35005	48
35006	13
35007	11
35009	22
35013	73
35015	41
35017	26
35025	37
35027	14
35029	17
35031	15
35035	33
35039	22
35043	58
35045	64
35047	14
35049	71
35051	15
35053	10
35055	22
35057	13
35061	36
36001	29
36003	17
36005	203
36007	33
36009	24
36013	31
36015	12
36017	11
36019	20
36021	18
36025	13
36027	52
36029	206
36033	10
36035	14
36037	11
36039	11
36043	12
36045	20
36047	339
36049	11
36051	11
36053	13
36055	160
36059	115
36061	81
36063	52
36065	41
36067	102
36069	15
36071	57
36075	23
36077	11
36081	158
36083	24
36085	44
36087	21
36089	14
36091	36
36093	33
36101	14
36103	169
36105	21
36107	14
36111	27
36113	17
36115	14
36117	11
36119	65
36121	17
37001	46
37003	20
37007	16
37009	12
37013	26
37017	21
37019	34
37021	71
37023	41
37025	61
37027	44
37031	26
37035	58
37037	18
37039	16
37045	45
37047	28
37049	29
37051	167
37053	12
37057	64
37059	17
37061	13
37063	116
37065	31
37067	111
37069	29
37071	86
37077	28
37081	175
37083	21
37085	51
37087	22
37089	53
37091	15
37093	24
37097	59
37099	18
37101	54
37105	32
37107	29
37109	26
37111	28
37113	20
37117	11
37119	328
37125	35
37127	41
37129	80
37131	13
37133	84
37135	19
37137	12
37139	21
37141	27
37145	22
37147	60
37149	14
37151	53
37153	16
37155	127
37157	45
37159	72
37161	27
37163	29
37165	18
37167	23
37169	28
37171	33
37175	20
37179	47
37181	37
37183	201
37185	12
37189	13
37191	55
37193	33
37195	28
37197	18
38015	37
38017	44
38035	16
38059	13
38089	18
38101	23
39001	10
39003	32
39007	29
39009	17
39011	11
39013	25
39015	20
39017	107
39021	10
39023	49
39025	53
39027	10
39029	37
39035	569
39037	16
39041	35
39043	25
39045	35
39049	487
39053	13
39055	23
39057	36
39061	343
39063	14
39071	13
39073	13
39077	21
39079	12
39081	33
39083	17
39085	49
39087	26
39089	51
39091	13
39093	96
39095	143
39097	12
39099	96
39101	20
39103	49
39105	11
39107	10
39109	27
39113	254
39119	34
39129	18
39131	18
39133	40
39135	16
39139	44
39141	23
39143	23
39145	30
39147	19
39149	10
39151	140
39153	195
39155	85
39157	29
39159	10
39165	46
39167	21
39169	23
39173	34
40005	10
40009	12
40013	16
40015	21
40017	49
40019	34
40021	16
40023	13
40027	97
40031	56
40037	53
40039	11
40041	20
40047	27
40049	17
40051	36
40065	11
40071	21
40073	10
40075	10
40079	44
40081	23
40083	19
40087	22
40089	21
40091	19
40093	12
40097	22
40099	10
40101	43
40107	10
40109	425
40111	30
40113	22
40115	12
40119	34
40121	25
40123	13
40125	31
40131	37
40133	12
40135	17
40137	17
40139	12
40143	368
40145	42
40147	15
40153	12
41001	14
41003	15
41005	121
41007	17
41009	26
41011	40
41013	15
41015	24
41017	62
41019	72
41029	92
41031	10
41033	55
41035	47
41039	167
41041	32
41043	34
41045	12
41047	87
41051	236
41053	15
41057	14
41059	35
41067	112
41071	31
42001	22
42003	477
42005	28
42007	56
42009	16
42011	136
42013	30
42015	22
42017	122
42019	52
42021	71
42025	33
42027	33
42029	95
42031	18
42033	38
42037	24
42039	29
42041	67
42043	98
42045	170
42047	14
42049	92
42051	56
42055	48
42059	13
42061	15
42063	18
42065	16
42069	70
42071	122
42073	34
42075	33
42077	111
42079	114
42081	42
42083	17
42085	39
42087	18
42089	52
42091	167
42095	77
42097	27
42099	18
42101	850
42103	21
42107	64
42111	35
42115	20
42121	19
42123	15
42125	86
42127	26
42129	130
42133	146
44003	18
44005	11
44007	81
44009	16
45001	16
45003	103
45007	147
45011	18
45013	75
45015	93
45017	10
45019	206
45021	30
45023	15
45025	22
45027	16
45029	34
45031	38
45033	23
45035	79
45037	17
45039	11
45041	49
45043	28
45045	201
45047	20
45049	11
45051	164
45053	30
45055	27
45057	41
45059	26
45063	128
45067	19
45069	16
45071	20
45073	41
45075	51
45077	76
45079	191
45083	138
45085	46
45087	11
45089	11
45091	104
46093	11
46099	55
46103	45
47001	31
47003	16
47007	11
47009	42
47011	37
47013	11
47017	18
47019	23
47021	27
47025	26
47027	11
47029	24
47031	24
47035	34
47037	313
47041	11
47043	28
47047	23
47051	13
47053	24
47055	15
47059	24
47063	26
47065	157
47069	13
47073	20
47077	12
47079	21
47089	14
47091	14
47093	171
47097	17
47099	15
47101	10
47103	14
47105	12
47107	26
47109	11
47111	14
47113	51
47115	14
47117	13
47119	28
47123	18
47125	99
47129	10
47131	14
47133	11
47139	11
47141	40
47143	17
47145	20
47147	29
47149	84
47151	18
47155	31
47157	645
47161	12
47163	59
47165	78
47167	33
47173	15
47177	19
47179	42
47183	15
47185	19
47187	50
47189	57
48001	28
48005	33
48007	13
48013	24
48015	15
48021	55
48025	10
48027	169
48029	630
48031	11
48037	52
48039	106
48041	55
48049	21
48053	18
48055	21
48061	49
48067	21
48071	23
48073	26
48085	195
48091	53
48097	14
48099	24
48113	810
48121	150
48131	11
48135	61
48139	53
48141	181
48143	13
48147	17
48157	190
48161	12
48167	127
48171	19
48179	14
48181	57
48183	82
48185	13
48187	46
48189	13
48199	22
48201	1748
48203	41
48209	54
48213	50
48215	115
48217	25
48221	24
48223	14
48225	11
48227	19
48231	48
48241	12
48245	113
48249	22
48251	48
48253	12
48257	41
48259	19
48265	34
48277	15
48281	11
48291	36
48293	11
48297	10
48303	108
48309	65
48321	15
48325	19
48329	58
48331	12
48337	13
48339	187
48347	19
48349	23
48351	12
48355	123
48361	35
48365	15
48367	62
48373	25
48375	58
48381	49
48397	23
48401	31
48407	16
48409	29
48419	17
48423	87
48427	18
48439	615
48441	59
48451	29
48453	262
48455	11
48457	16
48459	20
48467	26
48469	36
48471	23
48473	22
48479	35
48481	13
48485	51
48491	151
48493	21
48497	20
48499	25
49003	23
49005	30
49007	16
49011	76
49013	12
49015	12
49021	19
49027	10
49035	386
49039	14
49041	20
49043	10
49045	24
49047	21
49049	142
49051	11
49053	61
49057	104
50003	13
50005	18
50007	32
50011	11
50015	12
50019	10
50021	27
50023	30
50025	20
50027	21
51001	20
51003	22
51007	16
51009	12
51011	11
51013	22
51015	37
51019	34
51023	15
51027	15
51031	25
51033	20
51035	13
51041	118
51047	20
51053	17
51059	128
51061	17
51067	21
51069	28
51073	19
51075	12
51083	18
51085	25
51087	106
51089	30
51093	15
51095	22
51099	12
51101	12
51105	10
51107	72
51109	14
51113	13
51117	12
51121	19
51127	12
51131	10
51137	17
51139	17
51143	25
51147	12
51149	15
51153	78
51155	12
51161	38
51165	26
51167	12
51169	12
51171	21
51173	11
51177	44
51179	42
51185	17
51187	15
51191	30
51195	19
51197	12
51199	19
51510	21
51540	12
51550	91
51590	34
51650	70
51660	11
51670	13
51680	21
51700	104
51710	129
51730	45
51740	67
51760	127
51770	43
51775	14
51790	11
51800	27
51810	139
53003	12
53005	65
53007	25
53009	44
53011	123
53015	38
53017	13
53021	23
53025	23
53027	27
53029	24
53031	10
53033	435
53035	68
53037	14
53041	22
53045	34
53047	18
53053	276
53057	38
53061	201
53063	173
53065	16
53067	83
53071	22
53073	54
53077	96
54003	48
54005	14
54011	51
54019	23
54025	15
54029	11
54033	26
54037	19
54039	114
54045	15
54047	23
54049	26
54051	11
54053	10
54055	40
54057	13
54059	10
54061	39
54065	15
54067	16
54069	12
54077	19
54079	14
54081	46
54083	12
54087	10
54099	12
54107	31
54109	15
55005	14
55007	10
55009	65
55017	20
55021	25
55025	99
55027	19
55031	14
55035	32
55039	27
55043	14
55053	10
55055	22
55057	10
55059	44
55063	34
55071	29
55073	34
55075	17
55079	469
55081	12
55085	12
55087	42
55089	17
55095	14
55097	21
55099	12
55101	50
55105	50
55109	15
55111	16
55113	13
55115	12
55117	22
55121	10
55127	27
55131	24
55133	93
55135	15
55139	36
55141	24
56001	11
56005	15
56007	14
56013	32
56021	47
56025	42
56029	20
56033	21
56037	15
56041	12
